Probe_ID,Healthy_Mean,Cancer_Mean,Log2FC,Gene
11745338_a_at,3.3681493243243246,3.3309622448979592,-0.012334579559869052,
11745339_at,1.8031668918918917,1.8504295918367346,0.02412172552109282,
11745340_x_at,3.7623114864864857,3.7525326530612246,-0.002965446253997861,
11745341_a_at,2.7917351351351347,2.767247959183674,-0.009347196692713444,
11745342_at,2.089456081081081,2.0975693877551023,0.003783735519492515,
11745343_a_at,2.519635810810811,2.530532653061224,0.004459704154649025,
11745344_a_at,4.834004054054053,5.589488775510203,0.17568015391075775,
11745345_x_at,4.03946554054054,4.533377551020409,0.13488962736380916,
11745346_a_at,2.4484702702702705,2.3475357142857147,-0.042857081663105756,
11745347_a_at,3.0772952702702705,2.9857234693877546,-0.032770818884806596,
11745348_x_at,2.6952081081081074,2.6490836734693874,-0.018121384605367385,
11745349_a_at,3.6654398648648656,3.9561469387755097,0.0872058538213154,
11745350_x_at,3.143687162162162,2.7728418367346945,-0.1352634658845675,
11745351_a_at,6.5989466216216215,6.677741836734694,0.014882606854743408,
11745352_a_at,2.3089,2.3219948979591836,0.005698165691571333,
11745353_a_at,3.970989864864865,4.029175510204081,0.016788740215845088,
11745354_x_at,7.61688310810811,7.525089795918366,-0.015451082888216838,
11745355_a_at,4.559669594594595,4.322036734693877,-0.06302067920753718,
11745356_a_at,2.499635135135135,2.464469387755102,-0.014570108876932997,
11745357_x_at,7.0823797297297295,7.662329591836734,0.09997493195044882,
11745358_a_at,2.298180405405405,2.239016326530612,-0.026114573962330523,
11745359_a_at,2.445668243243243,2.3329214285714284,-0.047996495034278164,
11745360_a_at,2.1905277027027026,2.2315948979591838,0.018451297247239706,
11745361_a_at,2.9160331081081083,6.489367346938776,0.9354508920730844,
11745362_x_at,12.103872297297297,12.432244897959187,0.035707236484802785,
11745363_at,2.4144270270270267,2.4694744897959184,0.02307365792002858,
11745364_a_at,4.005344594594594,4.18684081632653,0.05138669890611158,
11745365_at,2.720204054054054,2.8617255102040815,0.0538638661262727,
11745366_x_at,4.929339189189189,5.428768367346939,0.11667104165874065,
11745367_a_at,2.4047310810810814,2.5850867346938777,0.07446716968342093,
11745368_a_at,2.4513054054054053,2.470035714285714,0.007808368127802501,
11745369_x_at,4.595283108108108,4.1661040816326524,-0.11513442024656184,
11745370_a_at,2.0439743243243242,2.0352234693877556,-0.00415345056004246,
11745371_a_at,2.129634459459459,2.12399693877551,-0.002601120794914591,
11745372_a_at,2.2991466216216216,2.267554081632653,-0.01388178157867448,
11745373_a_at,3.0210459459459456,3.0053540816326523,-0.005641035480920653,
11745374_a_at,4.046863513513514,3.6217163265306125,-0.12695835893784757,
11745375_x_at,2.8500466216216216,2.563088775510204,-0.11174748690187597,
11745376_a_at,6.749799324324324,5.843665306122451,-0.17938974766498283,
11745377_x_at,5.820497297297297,5.726898979591836,-0.019935340288598002,
11745378_a_at,6.723773648648649,6.721451020408162,-0.000433900359682049,
11745379_x_at,7.7134763513513525,7.666146938775509,-0.007857716645487844,
11745380_a_at,2.362887837837838,2.3738479591836734,0.004694299180036499,
11745381_a_at,2.4260844594594593,2.703978571428572,0.11251503519972106,
11745382_x_at,5.863855405405405,5.689554081632653,-0.037109115617810495,
11745383_a_at,4.699175675675676,3.870680612244898,-0.22662988041811083,
11745384_s_at,10.93653445945946,10.754103061224493,-0.022219585760757887,
11745385_at,2.9700412162162158,2.9153877551020413,-0.019998795299673855,
11745386_a_at,5.098498648648649,5.192029591836735,0.02195824787670242,
11745387_a_at,3.195370945945946,3.118688775510204,-0.02661326183540158,
11745388_x_at,4.234983108108108,4.025361224489796,-0.058957580596011194,
11745389_x_at,4.791074324324324,4.737341836734694,-0.013448535105430981,
11745390_a_at,2.625133783783784,2.542604081632653,-0.03322399794711073,
